AGREGACAO;MUNICIPIO;RECONHECIMENTO;GESTOR;TIPO;FONTE;EIXO;SUBEIXO;FINALIDADE;PAGO
Municipal;ARROIO DO TIGRE;Estado de Calamidade Publica;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;74.649,00
Municipal;ARROIO DOS RATOS;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;23.256,00
Municipal;ARROIO DOS RATOS;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;875.997,00
Municipal;ARROIO DOS RATOS;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;68.630,00
Municipal;ARROIO DOS RATOS;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Assistencia Social;Seguranca alimentar e assistencia social: PAA, cestas, abrigos e parcela extra SUAS;138.508,90
Municipal;ARROIO DOS RATOS;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;25.642,20
Municipal;ARROIO DOS RATOS;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos;7.600,00
Municipal;ARROIO DOS RATOS;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;1.151.223,00
Municipal;ARROIO DOS RATOS;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;1.536.537,93
Municipal;ARROIO DOS RATOS;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;1.321.016,00
Municipal;ARROIO DOS RATOS;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;2.111.400,00
Municipal;ARROIO DOS RATOS;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;349.800,00
Municipal;ARROIO DOS RATOS;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;5.537.467,69
Municipal;ARROIO DOS RATOS;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;14.012,25
Municipal;ARROIO DOS RATOS;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;4.444.092,62
Municipal;ARROIO DOS RATOS;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;525.696,00
Municipal;ARROIO DOS RATOS;Situacao de Emergencia;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;136.666,00
Municipal;ARROIO GRANDE;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;2.652,00
Municipal;ARROIO GRANDE;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;1.137.478,00
Municipal;ARROIO GRANDE;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;57.595,00
Municipal;ARROIO GRANDE;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;20.370,20
Municipal;ARROIO GRANDE;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos;15.200,00
Municipal;ARROIO GRANDE;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;920.077,00
Municipal;ARROIO GRANDE;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;2.209.129,83
Municipal;ARROIO GRANDE;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAF/PRONAMP;599.992,39
Municipal;ARROIO GRANDE;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;1.486.054,51
Municipal;ARROIO GRANDE;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Empresas;Programa Emergencial de Acesso a Credito (PEAC);30.000,00
Municipal;ARROIO GRANDE;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;321.300,00
Municipal;ARROIO GRANDE;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;200.000,00
Municipal;ARROIO GRANDE;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;6.302.046,74
Municipal;ARROIO GRANDE;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;38.246,83
Municipal;ARROIO GRANDE;Situacao de Emergencia;MS;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Saude;Vigilancia epidemiologica: rede de frios, computadores e vacinas;54.000,00
Municipal;ARROIO GRANDE;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;3.716.340,58
Municipal;ARROIO GRANDE;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;622.216,00
Municipal;ARROIO GRANDE;Situacao de Emergencia;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;184.511,00
Municipal;ARVOREZINHA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;18.360,00
Municipal;ARVOREZINHA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;337.572,00
Municipal;ARVOREZINHA;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;17.475,00
Municipal;ARVOREZINHA;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;10.869,60
Municipal;ARVOREZINHA;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;426.829,00
Municipal;ARVOREZINHA;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;899.005,28
Municipal;ARVOREZINHA;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAF/PRONAMP;486.160,59
Municipal;ARVOREZINHA;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;1.641.595,00
Municipal;ARVOREZINHA;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Empresas;Programa Emergencial de Acesso a Credito (PEAC);1.520.000,00
Municipal;ARVOREZINHA;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;5.100,00
Municipal;ARVOREZINHA;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;3.049.731,35
Municipal;ARVOREZINHA;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;5.001.813,80
Municipal;ARVOREZINHA;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;5.230,40
Municipal;ARVOREZINHA;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;3.248.245,22
Municipal;ARVOREZINHA;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;649.017,00
Municipal;ARVOREZINHA;Situacao de Emergencia;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;97.318,00
Municipal;AUGUSTO PESTANA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;4.590,00
Municipal;AUGUSTO PESTANA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;128.336,00
Municipal;AUGUSTO PESTANA;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;700,00
Municipal;AUGUSTO PESTANA;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;8.108,00
Municipal;AUGUSTO PESTANA;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;389.092,00
Municipal;AUGUSTO PESTANA;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;473.702,60
Municipal;AUGUSTO PESTANA;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAF/PRONAMP;443.076,99
Municipal;AUGUSTO PESTANA;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;874.100,00
Municipal;AUGUSTO PESTANA;Situacao de Emergencia;MF;Recursos Novos;Orcamento Federal;Apoio as Empresas;Credito para Empresas;Credito a empresas de todos os portes via Fundo Social;180.000,00
Municipal;AUGUSTO PESTANA;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;4.177.579,94
Municipal;AUGUSTO PESTANA;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;2.137,32
Municipal;AUGUSTO PESTANA;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;1.609.080,50
Municipal;AUGUSTO PESTANA;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;340.817,00
Municipal;AUGUSTO PESTANA;Situacao de Emergencia;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;96.808,00
Municipal;AUREA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;1.938,00
Municipal;AUREA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;61.155,00
Municipal;AUREA;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;1.800,00
Municipal;AUREA;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;4.855,80
Municipal;AUREA;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;159.293,00
Municipal;AUREA;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;397.366,68
Municipal;AUREA;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;791.685,10
Municipal;AUREA;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;2.045.305,89
Municipal;AUREA;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;5.011,41
Municipal;AUREA;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;490.772,54
Municipal;AUREA;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;97.680,00
Municipal;AUREA;Situacao de Emergencia;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;13.452,00
Municipal;BAGE;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;478.788,00
Municipal;BAGE;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;8.403.219,00
Municipal;BAGE;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;730.979,00
Municipal;BAGE;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos;22.800,00
Municipal;BAGE;Situacao de Emergencia;MEC/MCTI;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao de Bolsas de Pos-Graduacao;935.333,20
Municipal;BAGE;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;9.653.372,00
Municipal;BAGE;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;3.238.289,10
Municipal;BAGE;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;5.100,00
Municipal;BAGE;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;86.561,19
Municipal;BAGE;Situacao de Emergencia;MS;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Saude;Vigilancia epidemiologica: rede de frios, computadores e vacinas;79.213,00
Municipal;BAGE;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;5.821.374,00
Municipal;BALNEARIO PINHAL;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;98.430,00
Municipal;BALNEARIO PINHAL;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;1.013.169,00
Municipal;BALNEARIO PINHAL;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;244.305,00
Municipal;BALNEARIO PINHAL;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Assistencia Social;Seguranca alimentar e assistencia social: PAA, cestas, abrigos e parcela extra SUAS;9.166,40
Municipal;BALNEARIO PINHAL;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;32.543,60
Municipal;BALNEARIO PINHAL;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;815.592,00
Municipal;BALNEARIO PINHAL;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;110.006,40
Municipal;BALNEARIO PINHAL;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;723.600,00
Municipal;BALNEARIO PINHAL;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;45.900,00
Municipal;BALNEARIO PINHAL;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;262.500,00
Municipal;BALNEARIO PINHAL;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;5.323.842,19
Municipal;BALNEARIO PINHAL;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;22.316,98
Municipal;BALNEARIO PINHAL;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;711.332,76
Municipal;BALNEARIO PINHAL;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;591.257,00
Municipal;BALNEARIO PINHAL;Situacao de Emergencia;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;102.424,00
Municipal;BARAO;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;612,00
Municipal;BARAO;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;20.138,00
Municipal;BARAO;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;1.800,00
Municipal;BARAO;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;13.532,80
Municipal;BARAO;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos;7.600,00
Municipal;BARAO;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;475.817,00
Municipal;BARAO;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;418.165,02
Municipal;BARAO;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;1.201.816,00
Municipal;BARAO;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Auxilio Reconstrucao;30.600,00
Municipal;BARAO;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;200.000,00
Municipal;BARAO;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;5.802.906,02
Municipal;BARAO;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;444.158,00
Municipal;BARAO DE COTEGIPE;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;918,00
Municipal;BARAO DE COTEGIPE;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;119.642,00
Municipal;BARAO DE COTEGIPE;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;1.350,00
Municipal;BARAO DE COTEGIPE;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;9.192,60
Municipal;BARAO DE COTEGIPE;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;324.987,00
Municipal;BARAO DE COTEGIPE;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;410.787,85
Municipal;BARAO DE COTEGIPE;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAF/PRONAMP;930.502,90
Municipal;BARAO DE COTEGIPE;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;1.237.848,51
Municipal;BARAO DE COTEGIPE;Situacao de Emergencia;MF;Recursos Novos;Orcamento Federal;Apoio as Empresas;Credito para Empresas;Credito a empresas de todos os portes via Fundo Social;120.000,00
Municipal;BARAO DE COTEGIPE;Situacao de Emergencia;MIDR;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Defesa Civil;Defesa Civil: resgate, resposta e reconstrucao;200.000,00
Municipal;BARAO DE COTEGIPE;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;3.657.331,09
Municipal;BARAO DE COTEGIPE;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;2.585.522,71
Municipal;BARAO DE COTEGIPE;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;393.641,00
Municipal;BARAO DE COTEGIPE;Situacao de Emergencia;MTE;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Seguro desemprego;77.009,00
Municipal;BARAO DO TRIUNFO;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;6.936,00
Municipal;BARAO DO TRIUNFO;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;337.015,00
Municipal;BARAO DO TRIUNFO;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;7.375,00
Municipal;BARAO DO TRIUNFO;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Assistencia Social;Seguranca alimentar e assistencia social: PAA, cestas, abrigos e parcela extra SUAS;40.000,00
Municipal;BARAO DO TRIUNFO;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;127.877,00
Municipal;BARAO DO TRIUNFO;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;150.000,00
Municipal;BARAO DO TRIUNFO;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;244.729,38
Municipal;BARAO DO TRIUNFO;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;72.963,00
Municipal;BARRA DO GUARITA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;1.428,00
Municipal;BARRA DO GUARITA;Situacao de Emergencia;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;103.476,00
Municipal;BARRA DO GUARITA;Situacao de Emergencia;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;3.950,00
Municipal;BARRA DO GUARITA;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Alimentacao escolar: parcela extra;9.461,40
Municipal;BARRA DO GUARITA;Situacao de Emergencia;MEC;Recursos Novos;Orcamento Federal;Medidas para os Municipios;Educacao;Programa Dinheiro Direto na Escola (PDDE): limpeza e reparos;38.000,00
Municipal;BARRA DO GUARITA;Situacao de Emergencia;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;156.395,00
Municipal;BARRA DO GUARITA;Situacao de Emergencia;MF;Prorrogacao;Financiamento;Apoio as Empresas;Prorrogacoes;Prorrogacao de tributos e suspensao de dividas;15.791,38
Municipal;BARRA DO GUARITA;Situacao de Emergencia;MF;Recursos Novos;Financiamento;Apoio as Empresas;Credito para Agricultores;PRONAMPE SOLIDARIO;150.000,00
Municipal;BARRA DO GUARITA;Situacao de Emergencia;MPS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao dos Beneficios Previdenciarios;1.098.873,16
Municipal;BARRA DO GUARITA;Situacao de Emergencia;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;1.203,10
Municipal;BARRA DO GUARITA;Situacao de Emergencia;MTE;Antecipacao;Financiamento;Cuidado com as Pessoas;Antecipacao;FGTS - Saque Calamidade;533.633,07
Municipal;BARRA DO GUARITA;Situacao de Emergencia;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;82.264,00
Municipal;BARRA DO QUARAI;Nem Emergencia / Nem Calamidade;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Auxilio-Gas;16.116,00
Municipal;BARRA DO QUARAI;Nem Emergencia / Nem Calamidade;MDS;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do Bolsa-Familia;348.343,00
Municipal;BARRA DO QUARAI;Nem Emergencia / Nem Calamidade;MDS;Recursos Novos;Orcamento Federal;Cuidado com as Pessoas;Recursos Novos;Bolsa Familia: novas familias incluidas;12.310,00
Municipal;BARRA DO QUARAI;Nem Emergencia / Nem Calamidade;MF;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Antecipacao do IRPF;171.932,00
Municipal;BARRA DO QUARAI;Nem Emergencia / Nem Calamidade;MS;Antecipacao;Orcamento Federal;Medidas para os Municipios;Saude;Antecipacao do Piso Nacional da Enfermagem;6.498,21
Municipal;BARRA DO QUARAI;Nem Emergencia / Nem Calamidade;MTE;Antecipacao;Orcamento Federal;Cuidado com as Pessoas;Antecipacao;Abono Salarial;239.605,00
